business_activity,loss_type,period,count
ANALYTICAL LAB,LOSS IN TRANSIT,2019,0
CANINE HANDLER,PACKAGING DISCREPANCY,2019,0
CHEMICAL DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),2019,1
CHEMICAL DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),2019,1
CHEMICAL DISTRIBUTOR,LOSS IN TRANSIT,2019,12
CHEMICAL DISTRIBUTOR,PACKAGING DISCREPANCY,2019,2
CHEMICAL EXPORTER,BREAK-IN/BURGLARY,2019,1
CHEMICAL EXPORTER,LOSS IN TRANSIT,2019,1
CHEMICAL EXPORTER,PACKAGING DISCREPANCY,2019,0
CHEMICAL IMPORTER,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0
CHEMICAL IMPORTER,LOSS IN TRANSIT,2019,3
CHEMICAL IMPORTER,ROBBERY,2019,0
CHEMICAL MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),2019,1
CHEMICAL MANUFACTURER,LOSS IN TRANSIT,2019,0
CHEMICAL MANUFACTURER,PACKAGING DISCREPANCY,2019,0
DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),2019,1
DISTRIBUTOR,"DISASTER (FIRE, WEATHER, ETC.)",2019,0
DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),2019,0
DISTRIBUTOR,HIJACKING OF TRANSPORT VEHICLE,2019,5
DISTRIBUTOR,LOSS IN TRANSIT,2019,31
DISTRIBUTOR,PACKAGING DISCREPANCY,2019,5
DISTRIBUTOR,ROBBERY,2019,0
HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2019,0
MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),2019,0
MANUFACTURER,LOSS IN TRANSIT,2019,1
MANUFACTURER,PACKAGING DISCREPANCY,2019,1
PHARMACY,BREAK-IN/BURGLARY,2019,4
PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2019,1
PHARMACY,"DISASTER (FIRE, WEATHER, ETC.)",2019,0
PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2019,4
PHARMACY,HIJACKING OF TRANSPORT VEHICLE,2019,0
PHARMACY,LOSS IN TRANSIT,2019,9
PHARMACY,PACKAGING DISCREPANCY,2019,14
PHARMACY,ROBBERY,2019,0
REVERSE DISTRIBUTOR,LOSS IN TRANSIT,2019,52
REVERSE DISTRIBUTOR,PACKAGING DISCREPANCY,2019,0
ANALYTICAL LAB,LOSS IN TRANSIT,2020,1
CANINE HANDLER,PACKAGING DISCREPANCY,2020,0
CHEMICAL DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
CHEMICAL DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),2020,1
CHEMICAL DISTRIBUTOR,LOSS IN TRANSIT,2020,18
CHEMICAL DISTRIBUTOR,PACKAGING DISCREPANCY,2020,4
CHEMICAL EXPORTER,BREAK-IN/BURGLARY,2020,0
CHEMICAL EXPORTER,LOSS IN TRANSIT,2020,0
CHEMICAL EXPORTER,PACKAGING DISCREPANCY,2020,1
CHEMICAL IMPORTER,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
CHEMICAL IMPORTER,LOSS IN TRANSIT,2020,0
CHEMICAL IMPORTER,ROBBERY,2020,0
CHEMICAL MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),2020,1
CHEMICAL MANUFACTURER,LOSS IN TRANSIT,2020,0
CHEMICAL MANUFACTURER,PACKAGING DISCREPANCY,2020,5
DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
DISTRIBUTOR,"DISASTER (FIRE, WEATHER, ETC.)",2020,0
DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),2020,1
DISTRIBUTOR,HIJACKING OF TRANSPORT VEHICLE,2020,0
DISTRIBUTOR,LOSS IN TRANSIT,2020,46
DISTRIBUTOR,PACKAGING DISCREPANCY,2020,15
DISTRIBUTOR,ROBBERY,2020,0
HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2020,0
MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),2020,1
MANUFACTURER,LOSS IN TRANSIT,2020,3
MANUFACTURER,PACKAGING DISCREPANCY,2020,1
PHARMACY,BREAK-IN/BURGLARY,2020,39
PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2020,2
PHARMACY,"DISASTER (FIRE, WEATHER, ETC.)",2020,1
PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2020,3
PHARMACY,HIJACKING OF TRANSPORT VEHICLE,2020,1
PHARMACY,LOSS IN TRANSIT,2020,15
PHARMACY,PACKAGING DISCREPANCY,2020,23
PHARMACY,ROBBERY,2020,6
REVERSE DISTRIBUTOR,LOSS IN TRANSIT,2020,0
REVERSE DISTRIBUTOR,PACKAGING DISCREPANCY,2020,0
ANALYTICAL LAB,LOSS IN TRANSIT,2021,0
CANINE HANDLER,PACKAGING DISCREPANCY,2021,1
CHEMICAL DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
CHEMICAL DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),2021,0
CHEMICAL DISTRIBUTOR,LOSS IN TRANSIT,2021,20
CHEMICAL DISTRIBUTOR,PACKAGING DISCREPANCY,2021,2
CHEMICAL EXPORTER,BREAK-IN/BURGLARY,2021,0
CHEMICAL EXPORTER,LOSS IN TRANSIT,2021,1
CHEMICAL EXPORTER,PACKAGING DISCREPANCY,2021,0
CHEMICAL IMPORTER,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
CHEMICAL IMPORTER,LOSS IN TRANSIT,2021,3
CHEMICAL IMPORTER,ROBBERY,2021,2
CHEMICAL MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),2021,0
CHEMICAL MANUFACTURER,LOSS IN TRANSIT,2021,2
CHEMICAL MANUFACTURER,PACKAGING DISCREPANCY,2021,5
DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
DISTRIBUTOR,"DISASTER (FIRE, WEATHER, ETC.)",2021,1
DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),2021,0
DISTRIBUTOR,HIJACKING OF TRANSPORT VEHICLE,2021,3
DISTRIBUTOR,LOSS IN TRANSIT,2021,78
DISTRIBUTOR,PACKAGING DISCREPANCY,2021,25
DISTRIBUTOR,ROBBERY,2021,0
HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2021,1
MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),2021,1
MANUFACTURER,LOSS IN TRANSIT,2021,3
MANUFACTURER,PACKAGING DISCREPANCY,2021,2
PHARMACY,BREAK-IN/BURGLARY,2021,4
PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2021,2
PHARMACY,"DISASTER (FIRE, WEATHER, ETC.)",2021,0
PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2021,14
PHARMACY,HIJACKING OF TRANSPORT VEHICLE,2021,0
PHARMACY,LOSS IN TRANSIT,2021,16
PHARMACY,PACKAGING DISCREPANCY,2021,18
PHARMACY,ROBBERY,2021,3
REVERSE DISTRIBUTOR,LOSS IN TRANSIT,2021,0
REVERSE DISTRIBUTOR,PACKAGING DISCREPANCY,2021,0
ANALYTICAL LAB,LOSS IN TRANSIT,JAN-SEP 2022,0
CANINE HANDLER,PACKAGING DISCREPANCY,JAN-SEP 2022,0
CHEMICAL DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
CHEMICAL DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
CHEMICAL DISTRIBUTOR,LOSS IN TRANSIT,JAN-SEP 2022,17
CHEMICAL DISTRIBUTOR,PACKAGING DISCREPANCY,JAN-SEP 2022,1
CHEMICAL EXPORTER,BREAK-IN/BURGLARY,JAN-SEP 2022,0
CHEMICAL EXPORTER,LOSS IN TRANSIT,JAN-SEP 2022,0
CHEMICAL EXPORTER,PACKAGING DISCREPANCY,JAN-SEP 2022,0
CHEMICAL IMPORTER,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
CHEMICAL IMPORTER,LOSS IN TRANSIT,JAN-SEP 2022,4
CHEMICAL IMPORTER,ROBBERY,JAN-SEP 2022,1
CHEMICAL MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
CHEMICAL MANUFACTURER,LOSS IN TRANSIT,JAN-SEP 2022,2
CHEMICAL MANUFACTURER,PACKAGING DISCREPANCY,JAN-SEP 2022,3
DISTRIBUTOR,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
DISTRIBUTOR,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,0
DISTRIBUTOR,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
DISTRIBUTOR,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
DISTRIBUTOR,LOSS IN TRANSIT,JAN-SEP 2022,76
DISTRIBUTOR,PACKAGING DISCREPANCY,JAN-SEP 2022,29
DISTRIBUTOR,ROBBERY,JAN-SEP 2022,1
HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
MANUFACTURER,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
MANUFACTURER,LOSS IN TRANSIT,JAN-SEP 2022,2
MANUFACTURER,PACKAGING DISCREPANCY,JAN-SEP 2022,0
PHARMACY,BREAK-IN/BURGLARY,JAN-SEP 2022,6
PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
PHARMACY,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,1
PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,18
PHARMACY,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
PHARMACY,LOSS IN TRANSIT,JAN-SEP 2022,31
PHARMACY,PACKAGING DISCREPANCY,JAN-SEP 2022,8
PHARMACY,ROBBERY,JAN-SEP 2022,5
REVERSE DISTRIBUTOR,LOSS IN TRANSIT,JAN-SEP 2022,1
REVERSE DISTRIBUTOR,PACKAGING DISCREPANCY,JAN-SEP 2022,1
