state,business_activity,loss_type,period,gram,milligram,milliliter,unit
AK,DISTRIBUTOR,LOSS IN TRANSIT,2010,0.0,0.0,0.0,550.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2011,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2012,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2013,0.0,0.0,0.0,90.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2014,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2015,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2016,0.0,0.0,0.0,2400.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2017,0.0,0.0,0.0,8424.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2018,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2019,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2020,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,2021,0.0,0.0,0.0,2.0
AK,DISTRIBUTOR,LOSS IN TRANSIT,JAN-SEP 2022,0.0,88.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2010,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2011,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2012,0.0,0.0,0.0,300.0
AK,DISTRIBUTOR,OTHER,2013,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2014,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2015,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2016,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2017,0.0,0.0,0.0,100.0
AK,DISTRIBUTOR,OTHER,2018,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2019,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2020,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,2021,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,OTHER,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2010,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2011,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2012,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2013,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2014,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2015,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2016,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2017,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2018,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2019,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2020,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,2021,0.0,0.0,0.0,0.0
AK,DISTRIBUTOR,PACKAGING DISCREPANCY,JAN-SEP 2022,1.0,0.0,0.0,0.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2010,0.0,0.0,0.0,33.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2011,0.0,0.0,0.0,337.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2012,0.0,0.0,0.0,54.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2013,241.0,0.0,0.0,277.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2014,0.0,0.0,258.0,176.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2015,0.0,0.0,483.0,1029.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2016,0.0,0.0,361.0,72.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2017,0.0,0.0,712.0,358.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2018,0.0,0.0,0.0,0.0
