state,business_activity,period,count
AK,DISTRIBUTOR,2010,2
AK,HOSPITAL,2010,13
AK,MID LEVEL PRACTITIONER,2010,1
AK,PHARMACY,2010,17
AK,PRACTITIONER,2010,1
AL,ANALYTICAL LAB,2010,0
AL,DISTRIBUTOR,2010,13
AL,EXPORTER,2010,0
AL,HOSPITAL,2010,28
AL,MANUFACTURER,2010,2
AL,MID LEVEL PRACTITIONER,2010,1
AL,NTP,2010,0
AL,PHARMACY,2010,123
AL,PRACTITIONER,2010,13
AL,RESEARCHER,2010,0
AP,HOSPITAL,2010,0
AR,CANINE HANDLER,2010,0
AR,DISTRIBUTOR,2010,39
AR,HOSPITAL,2010,48
AR,MANUFACTURER,2010,0
AR,MID LEVEL PRACTITIONER,2010,0
AR,NTP,2010,1
AR,PHARMACY,2010,90
AR,PRACTITIONER,2010,5
AR,RESEARCHER,2010,0
AS,HOSPITAL,2010,0
AZ,ANALYTICAL LAB,2010,1
AZ,CANINE HANDLER,2010,0
AZ,DISTRIBUTOR,2010,14
AZ,HOSPITAL,2010,50
AZ,MANUFACTURER,2010,0
AZ,MID LEVEL PRACTITIONER,2010,0
AZ,NTP,2010,2
AZ,PHARMACY,2010,813
AZ,PRACTITIONER,2010,23
AZ,RESEARCHER,2010,0
CA,CANINE HANDLER,2010,0
CA,DISTRIBUTOR,2010,105
CA,EXPORTER,2010,0
CA,HOSPITAL,2010,224
CA,MANUFACTURER,2010,10
CA,MID LEVEL PRACTITIONER,2010,1
CA,NTP,2010,4
CA,PHARMACY,2010,473
CA,PRACTITIONER,2010,66
CA,RESEARCHER,2010,1
CA,REVERSE DISTRIBUTOR,2010,0
CA,TEACHING INSTITUTION,2010,0
CO,ANALYTICAL LAB,2010,1
CO,CANINE HANDLER,2010,1
CO,DISTRIBUTOR,2010,13
CO,HOSPITAL,2010,109
CO,IMPORTER,2010,0
CO,MANUFACTURER,2010,0
CO,MID LEVEL PRACTITIONER,2010,3
CO,NTP,2010,0
CO,PHARMACY,2010,116
CO,PRACTITIONER,2010,30
CO,RESEARCHER,2010,0
CO,TEACHING INSTITUTION,2010,0
CT,ANALYTICAL LAB,2010,0
CT,CANINE HANDLER,2010,0
CT,DISTRIBUTOR,2010,8
CT,EXPORTER,2010,0
CT,HOSPITAL,2010,76
CT,MANUFACTURER,2010,0
CT,MID LEVEL PRACTITIONER,2010,1
CT,NTP,2010,0
CT,PHARMACY,2010,85
CT,PRACTITIONER,2010,7
CT,RESEARCHER,2010,0
DC,DISTRIBUTOR,2010,0
DC,HOSPITAL,2010,3
DC,MID LEVEL PRACTITIONER,2010,0
DC,PHARMACY,2010,6
DC,PRACTITIONER,2010,5
DC,RESEARCHER,2010,0
DC,TEACHING INSTITUTION,2010,0
DE,ANALYTICAL LAB,2010,1
DE,DISTRIBUTOR,2010,0
DE,HOSPITAL,2010,16
DE,MANUFACTURER,2010,0
DE,NTP,2010,0
DE,PHARMACY,2010,23
DE,PRACTITIONER,2010,1
DE,RESEARCHER,2010,0
FL,ANALYTICAL LAB,2010,1
FL,CANINE HANDLER,2010,0
FL,DISTRIBUTOR,2010,88
FL,EXPORTER,2010,0
FL,HOSPITAL,2010,87
FL,IMPORTER,2010,0
FL,MANUFACTURER,2010,2
FL,MID LEVEL PRACTITIONER,2010,0
FL,NTP,2010,0
FL,PHARMACY,2010,495
FL,PRACTITIONER,2010,63
FL,RESEARCHER,2010,0
