state,loss_type,period,count
AK,BREAK-IN/BURGLARY,2010,6
AK,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0
AK,EMPLOYEE THEFT (OR SUSPECTED),2010,7
AK,LOSS IN TRANSIT,2010,5
AK,OTHER,2010,15
AK,PACKAGING DISCREPANCY,2010,0
AK,ROBBERY,2010,1
AL,BREAK-IN/BURGLARY,2010,35
AL,CUSTOMER THEFT (OR NON EMPLOYEE),2010,1
AL,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
AL,EMPLOYEE THEFT (OR SUSPECTED),2010,37
AL,HIJACKING OF TRANSPORT VEHICLE,2010,0
AL,LOSS IN TRANSIT,2010,45
AL,OTHER,2010,53
AL,PACKAGING DISCREPANCY,2010,0
AL,ROBBERY,2010,9
AP,EMPLOYEE THEFT (OR SUSPECTED),2010,0
AP,LOSS IN TRANSIT,2010,0
AR,BREAK-IN/BURGLARY,2010,36
AR,CUSTOMER THEFT (OR NON EMPLOYEE),2010,7
AR,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
AR,EMPLOYEE THEFT (OR SUSPECTED),2010,57
AR,LOSS IN TRANSIT,2010,39
AR,OTHER,2010,40
AR,PACKAGING DISCREPANCY,2010,0
AR,ROBBERY,2010,4
AS,OTHER,2010,0
AZ,BREAK-IN/BURGLARY,2010,11
AZ,CUSTOMER THEFT (OR NON EMPLOYEE),2010,6
AZ,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
AZ,EMPLOYEE THEFT (OR SUSPECTED),2010,64
AZ,HIJACKING OF TRANSPORT VEHICLE,2010,0
AZ,LOSS IN TRANSIT,2010,692
AZ,OTHER,2010,97
AZ,PACKAGING DISCREPANCY,2010,0
AZ,ROBBERY,2010,33
CA,BREAK-IN/BURGLARY,2010,108
CA,CUSTOMER THEFT (OR NON EMPLOYEE),2010,27
CA,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
CA,EMPLOYEE THEFT (OR SUSPECTED),2010,243
CA,HIJACKING OF TRANSPORT VEHICLE,2010,0
CA,LOSS IN TRANSIT,2010,106
CA,OTHER,2010,334
CA,PACKAGING DISCREPANCY,2010,0
CA,ROBBERY,2010,66
CO,BREAK-IN/BURGLARY,2010,26
CO,CUSTOMER THEFT (OR NON EMPLOYEE),2010,3
CO,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
CO,EMPLOYEE THEFT (OR SUSPECTED),2010,57
CO,HIJACKING OF TRANSPORT VEHICLE,2010,0
CO,LOSS IN TRANSIT,2010,37
CO,OTHER,2010,129
CO,PACKAGING DISCREPANCY,2010,0
CO,ROBBERY,2010,21
CT,BREAK-IN/BURGLARY,2010,1
CT,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0
CT,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
CT,EMPLOYEE THEFT (OR SUSPECTED),2010,22
CT,HIJACKING OF TRANSPORT VEHICLE,2010,0
CT,LOSS IN TRANSIT,2010,6
CT,OTHER,2010,146
CT,PACKAGING DISCREPANCY,2010,0
CT,ROBBERY,2010,2
DC,BREAK-IN/BURGLARY,2010,0
DC,CUSTOMER THEFT (OR NON EMPLOYEE),2010,2
DC,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
DC,EMPLOYEE THEFT (OR SUSPECTED),2010,3
DC,LOSS IN TRANSIT,2010,0
DC,OTHER,2010,9
DC,PACKAGING DISCREPANCY,2010,0
DC,ROBBERY,2010,0
DE,BREAK-IN/BURGLARY,2010,2
DE,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0
DE,EMPLOYEE THEFT (OR SUSPECTED),2010,8
DE,LOSS IN TRANSIT,2010,10
DE,OTHER,2010,12
DE,PACKAGING DISCREPANCY,2010,0
DE,ROBBERY,2010,9
FL,BREAK-IN/BURGLARY,2010,50
FL,CUSTOMER THEFT (OR NON EMPLOYEE),2010,11
FL,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
FL,EMPLOYEE THEFT (OR SUSPECTED),2010,136
FL,HIJACKING OF TRANSPORT VEHICLE,2010,0
FL,LOSS IN TRANSIT,2010,176
FL,OTHER,2010,301
FL,PACKAGING DISCREPANCY,2010,0
FL,ROBBERY,2010,70
GA,BREAK-IN/BURGLARY,2010,24
GA,CUSTOMER THEFT (OR NON EMPLOYEE),2010,8
GA,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
GA,EMPLOYEE THEFT (OR SUSPECTED),2010,87
GA,LOSS IN TRANSIT,2010,48
GA,OTHER,2010,102
GA,PACKAGING DISCREPANCY,2010,0
GA,ROBBERY,2010,7
GU,BREAK-IN/BURGLARY,2010,0
GU,EMPLOYEE THEFT (OR SUSPECTED),2010,0
GU,OTHER,2010,0
HI,BREAK-IN/BURGLARY,2010,1
HI,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0
HI,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
HI,EMPLOYEE THEFT (OR SUSPECTED),2010,4
HI,LOSS IN TRANSIT,2010,5
HI,OTHER,2010,18
HI,PACKAGING DISCREPANCY,2010,0
HI,ROBBERY,2010,1
IA,BREAK-IN/BURGLARY,2010,6
IA,CUSTOMER THEFT (OR NON EMPLOYEE),2010,1
IA,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
IA,EMPLOYEE THEFT (OR SUSPECTED),2010,18
IA,HIJACKING OF TRANSPORT VEHICLE,2010,0
IA,LOSS IN TRANSIT,2010,5
IA,OTHER,2010,46
IA,PACKAGING DISCREPANCY,2010,0
IA,ROBBERY,2010,1
ID,BREAK-IN/BURGLARY,2010,2
ID,CUSTOMER THEFT (OR NON EMPLOYEE),2010,3
ID,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
ID,EMPLOYEE THEFT (OR SUSPECTED),2010,18
ID,LOSS IN TRANSIT,2010,11
ID,OTHER,2010,41
ID,PACKAGING DISCREPANCY,2010,0
ID,ROBBERY,2010,2
IL,BREAK-IN/BURGLARY,2010,10
IL,CUSTOMER THEFT (OR NON EMPLOYEE),2010,1
IL,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
IL,EMPLOYEE THEFT (OR SUSPECTED),2010,90
IL,LOSS IN TRANSIT,2010,48
IL,OTHER,2010,133
IL,PACKAGING DISCREPANCY,2010,0
IL,ROBBERY,2010,11
IN,BREAK-IN/BURGLARY,2010,31
IN,CUSTOMER THEFT (OR NON EMPLOYEE),2010,6
IN,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
IN,EMPLOYEE THEFT (OR SUSPECTED),2010,59
IN,HIJACKING OF TRANSPORT VEHICLE,2010,0
IN,LOSS IN TRANSIT,2010,38
IN,OTHER,2010,114
IN,PACKAGING DISCREPANCY,2010,0
IN,ROBBERY,2010,46
KS,BREAK-IN/BURGLARY,2010,16
KS,CUSTOMER THEFT (OR NON EMPLOYEE),2010,1
KS,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
KS,EMPLOYEE THEFT (OR SUSPECTED),2010,27
KS,HIJACKING OF TRANSPORT VEHICLE,2010,0
KS,LOSS IN TRANSIT,2010,13
KS,OTHER,2010,35
KS,PACKAGING DISCREPANCY,2010,0
KS,ROBBERY,2010,2
KY,BREAK-IN/BURGLARY,2010,34
KY,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0
KY,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
KY,EMPLOYEE THEFT (OR SUSPECTED),2010,63
KY,HIJACKING OF TRANSPORT VEHICLE,2010,0
KY,LOSS IN TRANSIT,2010,78
KY,OTHER,2010,98
KY,PACKAGING DISCREPANCY,2010,0
KY,ROBBERY,2010,12
LA,BREAK-IN/BURGLARY,2010,41
LA,CUSTOMER THEFT (OR NON EMPLOYEE),2010,2
LA,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
LA,EMPLOYEE THEFT (OR SUSPECTED),2010,115
LA,HIJACKING OF TRANSPORT VEHICLE,2010,0
LA,LOSS IN TRANSIT,2010,20
LA,OTHER,2010,41
LA,PACKAGING DISCREPANCY,2010,0
LA,ROBBERY,2010,3
MA,BREAK-IN/BURGLARY,2010,22
MA,CUSTOMER THEFT (OR NON EMPLOYEE),2010,3
MA,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
MA,EMPLOYEE THEFT (OR SUSPECTED),2010,53
MA,HIJACKING OF TRANSPORT VEHICLE,2010,0
MA,LOSS IN TRANSIT,2010,27
MA,OTHER,2010,204
MA,PACKAGING DISCREPANCY,2010,0
MA,ROBBERY,2010,13
MD,BREAK-IN/BURGLARY,2010,19
MD,CUSTOMER THEFT (OR NON EMPLOYEE),2010,3
MD,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
MD,EMPLOYEE THEFT (OR SUSPECTED),2010,44
MD,HIJACKING OF TRANSPORT VEHICLE,2010,0
MD,LOSS IN TRANSIT,2010,13
MD,OTHER,2010,103
MD,PACKAGING DISCREPANCY,2010,0
MD,ROBBERY,2010,23
ME,BREAK-IN/BURGLARY,2010,3
ME,CUSTOMER THEFT (OR NON EMPLOYEE),2010,2
ME,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
ME,EMPLOYEE THEFT (OR SUSPECTED),2010,14
ME,LOSS IN TRANSIT,2010,4
ME,OTHER,2010,56
ME,PACKAGING DISCREPANCY,2010,0
ME,ROBBERY,2010,24
MI,BREAK-IN/BURGLARY,2010,78
MI,CUSTOMER THEFT (OR NON EMPLOYEE),2010,2
MI,"DISASTER (FIRE, WEATHER, ETC.)",2010,0
MI,EMPLOYEE THEFT (OR SUSPECTED),2010,67
MI,HIJACKING OF TRANSPORT VEHICLE,2010,0
MI,LOSS IN TRANSIT,2010,28
MI,OTHER,2010,102
MI,PACKAGING DISCREPANCY,2010,0
MI,ROBBERY,2010,8
